Id for vurderingen,Vurderingsområde,Ekspertkomité,Artsgruppe,Taksonomisk sti,Vitenskapelig navn id,Vitenskapelig navn,Autor,Populærnavn,Fremmedartsstatus,Etableringsklasse,Risikokategori 2023,Utslagsgivende kriterier 2023,Risikokategori 2018,Skår Invasjonspotensial,Skår Økologisk effekt,Skår A-kriteriet,Skår B-kriteriet,Skår C-kriteriet,Skår D-kriteriet,Skår E-kriteriet,Skår F-kriteriet,Skår G-kriteriet,Skår H-kriteriet,Skår I-kriteriet,Artens levetid i Norge (beste anslag),Ekspansjonshastighet (beste anslag),Geografisk variasjon i risiko,Årsak til geografisk variasjon i risiko,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt,Kjent forekomstareal,Antatt forekomstareal beste anslag,Fremtidig forekomstareal beste anslag,Ant. forekomster fra én introduksjon beste anslag,Ant. ytterligere introduksjoner beste anslag,Naturtyper
3062,Svalbard med kystsone,Marine invertebrater,Copepoda,Animalia\Arthropoda\Crustacea\Multicrustacea\Copepoda\Calanoida\Diaptomoidea\Acartiidae\Acartia,128535,Acartia tonsa,"Dana, 1849",,Dørstokkart,A,LO,"2A,1",LO,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,middels stor eller liten brakkvannspoll; stor brakkvannspoll
750,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,103556,Acer campestre,L.,naverlønn,Selvstendig reproduserende,D2,LO,"3A,1",LO,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,78,Nei,,Nei,Nei,180.0,540.0,800,,,fastmarksskogsmark; sterkt endret åpen fastmark med løsmassedekke
816,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,103557,Acer ginnala,Maxim.,sibirlønn,Selvstendig reproduserende,D2,HI,"4AB,2E",HI,4.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2000.0,602,Ja,Artens evne til reproduksjon og/eller spredning er begrenset til visse bioklimatiske soner eller seksjoner,Nei,Nei,376.0,1128.0,5640,,,lågurtskog; kalklågurtskog
780,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,103558,Acer negundo,L.,asklønn,Selvstendig reproduserende,C2,LO,"3A,2DE",LO,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2000.0,89,Nei,,Nei,Nei,20.0,60.0,100,,,blomsterbed og liknende; fastmarksskogsmark; åpen flomfastmark; flomskogsmark; avfallsdeponi o.l.; lågurtskog
601,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,103560,Acer pseudoplatanus,L.,platanlønn,Selvstendig reproduserende,E,SE,"4AB,4EF",SE,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,2000.0,604,Nei,,Nei,Nei,12232.0,24464.0,36696,,,semi-naturlig eng; sterkt endret åpen fastmark med løsmassedekke; sterkt endret fastmark med preg av semi-naturlig eng; blåbærskog; lågurtskog; kalklågurtskog; bærlyngskog; svak bærlyng-lågurtskog; bærlyng-kalklågurtskog; lyngskog; svak lyng-lågurtskog; lyng-lågurtskog; lyng-kalklågurtskog; høgstaudeskog; svak lågurtskog; kystlynghei; boreonemoral regnskog; kalkgranskog
2273,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,170387,Acer pseudosieboldianum,(Pax) Kom.,korealønn,Dørstokkart,C1,LO,"2A,1",NK,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Nei,Nei,,,8,1.0,1.0,
5292,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,172665,Acer rubrum,L.,,Dørstokkart,B2,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,1.0,1.0,fastmarksskogsmark
5293,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,217341,Acer rufinerve,Siebold & Zucc.,rustlønn,Dørstokkart,B2,LO,"2A,1",,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Ja,Nei,,,8,2.0,0.0,fastmarksskogsmark
1568,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,128836,Acer saccharum,Marshall,sukkerlønn,Dørstokkart,B2,LO,"2A,1",LO,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200.0,46,Nei,,Nei,Nei,,,8,1.0,1.0,fastmarksskogsmark
769,Fastlands-Norge med havområder,Karplanter,Magnoliophyta,Plantae\Magnoliophyta\Eudicots\Sapindales\Sapindaceae\Acer,103561,Acer tataricum,L.,tatarlønn,Selvstendig reproduserende,C3,PH,"4A,1",LO,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,164,Nei,,Nei,Nei,68.0,340.0,1020,,,fastmarksskogsmark; oppdyrket varig eng; sterkt endret åpen fastmark med løsmassedekke
