Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Fugler,Fastlands-Norge med havområder,3448,Dørstokkart,C0,PH,SE,4.0,3.0,3448,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,9775,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,9775,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216787,Dørstokkart,A,,NK,1.0,1.0,216787,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101073,Selvstendig reproduserende,D1,NK,LO,2.0,1.0,101073,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101353,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,101353,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101356,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,101356,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100399,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,100399,Ja,Nei
Fisker,Fastlands-Norge med havområder,216500,Dørstokkart,A,,HI,3.0,3.0,216500,Ja,Ja
Fisker,Fastlands-Norge med havområder,42643,Selvstendig reproduserende,D2,LO,LO,3.0,2.0,42643,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103250,Selvstendig reproduserende,E,LO,SE,4.0,3.0,103250,Nei,Nei
Karplanter,Fastlands-Norge med havområder,154293,Dørstokkart,A,,LO,2.0,1.0,154293,Nei,Nei
Karplanter,Fastlands-Norge med havområder,145504,Dørstokkart,B2,,LO,2.0,1.0,145504,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103252,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,103252,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103254,Selvstendig reproduserende,E,SE,SE,4.0,4.0,103254,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,128528,Dørstokkart,A,PH,LO,3.0,1.0,128528,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,216733,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,NK,1.0,1.0,216733,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217378,Dørstokkart,B2,,NK,1.0,1.0,217378,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,170046,Dørstokkart,B1,PH,LO,3.0,1.0,170046,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,129621,Dørstokkart,A,LO,LO,3.0,1.0,129621,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,129622,Selvstendig reproduserende,E,PH,PH,4.0,1.0,129622,Ja,Nei
Marine invertebrater,Svalbard med kystsone,129622,Dørstokkart,C0,LO,LO,2.0,1.0,129622,Ja,Nei
Karplanter,Fastlands-Norge med havområder,127911,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,127911,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216047,Dørstokkart,A,,HI,3.0,3.0,216047,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,216048,Dørstokkart,A,,LO,2.0,1.0,216048,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,220017,Dørstokkart,A,,LO,3.0,1.0,220017,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100406,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,100406,Nei,Nei
Fugler,Fastlands-Norge med havområder,174279,Dørstokkart,C0,,LO,1.0,2.0,174279,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,9714,Dørstokkart,A,,NK,1.0,1.0,9714,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100983,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,100983,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101868,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,101868,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103085,Dørstokkart,B2,NK,LO,2.0,1.0,103085,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103086,Selvstendig reproduserende,C3,LO,PH,4.0,1.0,103086,Nei,Nei
Karplanter,Fastlands-Norge med havområder,129584,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,129584,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103089,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,103089,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103091,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,103091,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128890,Selvstendig reproduserende,E,SE,SE,4.0,3.0,128890,Nei,Nei
Fisker,Fastlands-Norge med havområder,128133,Dørstokkart,A,HI,SE,3.0,4.0,128133,Ja,Ja
Rundormer og flatormer,Fastlands-Norge med havområder,128551,Selvstendig reproduserende,E,SE,SE,4.0,4.0,128551,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,216050,Dørstokkart,A,,LO,3.0,2.0,216050,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,120933,Dørstokkart,A,SE,HI,2.0,4.0,120933,Ja,Ja
Alger,Fastlands-Norge med havområder,128129,Dørstokkart,A,NK,LO,3.0,1.0,128129,Ja,Nei
Fugler,Fastlands-Norge med havområder,3474,Dørstokkart,C1,LO,LO,1.0,2.0,3474,Nei,Nei
Fugler,Fastlands-Norge med havområder,3476,Dørstokkart,C0,LO,LO,1.0,2.0,3476,Nei,Nei
Fugler,Fastlands-Norge med havområder,136509,Dørstokkart,C0,LO,LO,2.0,2.0,136509,Nei,Nei
Fugler,Fastlands-Norge med havområder,3481,Selvstendig reproduserende,C2,LO,LO,2.0,2.0,3481,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100417,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,100417,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100418,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,100418,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216053,Dørstokkart,A,,LO,1.0,2.0,216053,Nei,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,110166,Dørstokkart,A,LO,LO,3.0,1.0,110166,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100271,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,100271,Nei,Nei
Karplanter,Svalbard med kystsone,100272,Dørstokkart,A,LO,LO,1.0,3.0,100272,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101892,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,101892,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102486,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,102486,Ja,Nei
Alger,Fastlands-Norge med havområder,223516,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,223516,Nei,Nei
Alger,Fastlands-Norge med havområder,126848,Dørstokkart,A,PH,PH,4.0,1.0,126848,Ja,Nei
