Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Marine invertebrater,Svalbard med kystsone,16576,Dørstokkart,C0,PH,LO,3.0,1.0,16576,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217000,Dørstokkart,A,,HI,3.0,3.0,217000,Ja,Ja
Karplanter,Fastlands-Norge med havområder,101260,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,101260,Ja,Nei
Karplanter,Fastlands-Norge med havområder,100090,Selvstendig reproduserende,D2,LO,LO,2.0,2.0,100090,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,216453,Dørstokkart,A,,HI,4.0,2.0,216453,Ja,Ja
Karplanter,Fastlands-Norge med havområder,127959,Selvstendig reproduserende,D2,NK,LO,2.0,1.0,127959,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101711,Selvstendig reproduserende,C3,NK,LO,3.0,1.0,101711,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101712,Selvstendig reproduserende,E,SE,SE,4.0,3.0,101712,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101713,Selvstendig reproduserende,E,LO,HI,4.0,2.0,101713,Nei,Nei
Karplanter,Fastlands-Norge med havområder,169090,Dørstokkart,C1,NK,NK,1.0,1.0,169090,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101714,Selvstendig reproduserende,E,HI,SE,4.0,3.0,101714,Nei,Nei
Karplanter,Fastlands-Norge med havområder,127960,Dørstokkart,C1,NK,LO,3.0,1.0,127960,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101715,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,101715,Nei,Nei
Karplanter,Fastlands-Norge med havområder,127962,Vurderes på et annet taksonomisk nivå,,LO,LO,3.0,1.0,127962,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128747,Dørstokkart,C1,NK,NK,1.0,1.0,128747,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217767,Dørstokkart,A,,LO,2.0,1.0,217767,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101716,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,101716,Nei,Nei
Karplanter,Fastlands-Norge med havområder,127963,Dørstokkart,C1,NK,NK,1.0,1.0,127963,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101718,Selvstendig reproduserende,E,HI,HI,4.0,2.0,101718,Nei,Nei
Moser,Fastlands-Norge med havområder,121485,Dørstokkart,A,PH,LO,3.0,1.0,121485,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101973,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,101973,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101974,Selvstendig reproduserende,E,LO,LO,2.0,1.0,101974,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143500,Selvstendig reproduserende,E,PH,PH,4.0,1.0,143500,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101975,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,101975,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170128,Dørstokkart,A,,LO,2.0,2.0,170128,Ja,Ja
Karplanter,Fastlands-Norge med havområder,170129,Dørstokkart,A,,LO,2.0,2.0,170129,Ja,Ja
Karplanter,Fastlands-Norge med havområder,101262,Selvstendig reproduserende,E,LO,PH,4.0,1.0,101262,Nei,Nei
Moser,Fastlands-Norge med havområder,105443,Dørstokkart,B1,LO,NK,1.0,1.0,105443,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128645,Dørstokkart,C0,LO,LO,3.0,2.0,128645,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101980,Selvstendig reproduserende,E,SE,SE,4.0,4.0,101980,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101981,Selvstendig reproduserende,E,HI,SE,4.0,3.0,101981,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101982,Selvstendig reproduserende,E,SE,SE,4.0,4.0,101982,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99846,Selvstendig reproduserende,D2,NK,LO,2.0,1.0,99846,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99847,Selvstendig reproduserende,E,PH,PH,4.0,1.0,99847,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99852,Selvstendig reproduserende,D2,NK,LO,2.0,1.0,99852,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101512,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,101512,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101513,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,101513,Ja,Nei
Karplanter,Fastlands-Norge med havområder,103723,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,103723,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,110201,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,110201,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99323,Selvstendig reproduserende,E,HI,SE,4.0,3.0,99323,Nei,Nei
Karplanter,Fastlands-Norge med havområder,120044,Dørstokkart,B2,LO,HI,3.0,3.0,120044,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101841,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,101841,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101843,Selvstendig reproduserende,E,SE,SE,4.0,3.0,101843,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101844,Selvstendig reproduserende,E,SE,SE,4.0,3.0,101844,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,56779,Dørstokkart,A,NK,NK,1.0,1.0,56779,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102819,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,102819,Nei,Nei
Karplanter,Fastlands-Norge med havområder,169957,Dørstokkart,B2,,NK,1.0,1.0,169957,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217001,Dørstokkart,A,,PH,1.0,4.0,217001,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217003,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217003,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217004,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217004,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217005,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217005,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217006,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217006,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217007,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217007,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217008,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217008,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217009,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217009,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217010,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217010,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217011,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217011,Nei,Nei
Amfibier og reptiler,Fastlands-Norge med havområder,216716,Dørstokkart,A,,NK,1.0,1.0,216716,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216832,Dørstokkart,A,,LO,3.0,1.0,216832,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,111013,Selvstendig reproduserende,D1,LO,LO,2.0,1.0,111013,Ja,Nei
Pattedyr,Fastlands-Norge med havområder,216760,Dørstokkart,B1,,NK,1.0,1.0,216760,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,134862,Dørstokkart,A,,LO,3.0,1.0,134862,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128612,Selvstendig reproduserende,E,LO,LO,3.0,1.0,128612,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103003,Selvstendig reproduserende,E,PH,HI,4.0,2.0,103003,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99555,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,99555,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99556,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,99556,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128851,Dørstokkart,B2,NK,NK,1.0,1.0,128851,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103328,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,103328,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170032,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,170032,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143506,Dørstokkart,C1,NK,LO,3.0,1.0,143506,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143507,Selvstendig reproduserende,D2,LO,HI,4.0,2.0,143507,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102732,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,102732,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102737,Selvstendig reproduserende,E,LO,LO,3.0,1.0,102737,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102741,Dørstokkart,C1,NK,NK,1.0,1.0,102741,Nei,Nei
Fugler,Fastlands-Norge med havområder,215442,Dørstokkart,A,,LO,1.0,2.0,215442,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,220099,Dørstokkart,A,,PH,4.0,1.0,220099,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,128950,Dørstokkart,A,PH,PH,4.0,1.0,128950,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,128949,Selvstendig reproduserende,E,SE,SE,4.0,3.0,128949,Ja,Ja
Pattedyr,Fastlands-Norge med havområder,216761,Dørstokkart,A,,PH,4.0,1.0,216761,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,169147,Selvstendig reproduserende,D2,,LO,3.0,1.0,169147,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216646,Dørstokkart,A,,LO,3.0,1.0,216646,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,220104,Dørstokkart,A,,LO,3.0,1.0,220104,Ja,Nei
Karplanter,Fastlands-Norge med havområder,128754,Dørstokkart,C0,NK,NK,1.0,1.0,128754,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143509,Selvstendig reproduserende,E,LO,LO,3.0,1.0,143509,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101989,Selvstendig reproduserende,D2,PH,PH,4.0,1.0,101989,Nei,Nei
Karplanter,Fastlands-Norge med havområder,143508,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,143508,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,170072,Dørstokkart,A,LO,LO,3.0,1.0,170072,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,22565,Dørstokkart,A,LO,LO,3.0,1.0,22565,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128976,Dørstokkart,A,,LO,3.0,1.0,128976,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,113656,Dørstokkart,C0,,LO,3.0,1.0,113656,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128977,Dørstokkart,C0,,LO,3.0,1.0,128977,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216833,Dørstokkart,A,,LO,3.0,1.0,216833,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216834,Dørstokkart,A,,PH,4.0,1.0,216834,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,123021,Selvstendig reproduserende,E,HI,HI,4.0,2.0,123021,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102438,Selvstendig reproduserende,E,LO,PH,4.0,1.0,102438,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217014,Dørstokkart,B1,,LO,1.0,3.0,217014,Nei,Nei
Alger,Fastlands-Norge med havområder,170453,Selvstendig reproduserende,E,PH,PH,4.0,1.0,170453,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100096,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,100096,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100097,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,100097,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101997,Selvstendig reproduserende,E,SE,SE,4.0,3.0,101997,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101998,Selvstendig reproduserende,E,LO,PH,4.0,1.0,101998,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102002,Selvstendig reproduserende,E,SE,SE,4.0,3.0,102002,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,216456,Dørstokkart,A,,LO,3.0,1.0,216456,Ja,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128878,Dørstokkart,A,PH,PH,4.0,1.0,128878,Ja,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128879,Dørstokkart,A,PH,PH,4.0,1.0,128879,Ja,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128880,Selvstendig reproduserende,D2,SE,SE,4.0,3.0,128880,Ja,Ja
Rundormer og flatormer,Fastlands-Norge med havområder,216457,Dørstokkart,A,,SE,4.0,3.0,216457,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128882,Dørstokkart,A,SE,SE,4.0,3.0,128882,Ja,Ja
Rundormer og flatormer,Fastlands-Norge med havområder,128881,Selvstendig reproduserende,D2,PH,PH,4.0,1.0,128881,Ja,Nei
Limniske invertebrater,Fastlands-Norge med havområder,217016,Dørstokkart,A,,LO,3.0,1.0,217016,Nei,Nei
Karplanter,Fastlands-Norge med havområder,158423,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,158423,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102333,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,102333,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102334,Selvstendig reproduserende,C2,LO,PH,4.0,1.0,102334,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102336,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,102336,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102337,Dørstokkart,C1,NK,LO,2.0,1.0,102337,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102338,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,102338,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102339,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,102339,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128852,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,128852,Nei,Nei
Karplanter,Fastlands-Norge med havområder,214784,Selvstendig reproduserende,D2,NK,LO,2.0,1.0,214784,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,216764,Dørstokkart,A,,LO,2.0,1.0,216764,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,128937,Dørstokkart,A,LO,LO,3.0,1.0,128937,Ja,Nei
Karplanter,Fastlands-Norge med havområder,102777,Selvstendig reproduserende,E,LO,LO,2.0,1.0,102777,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,129104,Selvstendig reproduserende,C3,LO,LO,2.0,1.0,129104,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216214,Dørstokkart,B1,,LO,2.0,1.0,216214,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,173294,Dørstokkart,C0,,LO,3.0,1.0,173294,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,216459,Dørstokkart,A,,LO,2.0,1.0,216459,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217798,Dørstokkart,B2,,NK,1.0,1.0,217798,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,47946,Selvstendig reproduserende,E,LO,PH,4.0,1.0,47946,Nei,Nei
Fisker,Fastlands-Norge med havområder,170099,Dørstokkart,A,,SE,3.0,4.0,170099,Ja,Ja
Fisker,Fastlands-Norge med havområder,170100,Dørstokkart,A,,SE,3.0,4.0,170100,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,127817,Dørstokkart,A,NK,NK,1.0,1.0,127817,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,216765,Dørstokkart,A,,SE,3.0,4.0,216765,Ja,Ja
Pattedyr,Svalbard med kystsone,47921,Selvstendig reproduserende,D1,LO,LO,2.0,2.0,47921,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,121219,Dørstokkart,A,NK,NK,1.0,1.0,121219,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217806,Dørstokkart,A,,NK,1.0,1.0,217806,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217807,Dørstokkart,C1,,LO,3.0,1.0,217807,Nei,Nei
Fisker,Fastlands-Norge med havområder,216539,Dørstokkart,A,,HI,3.0,3.0,216539,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,107500,Selvstendig reproduserende,D1,LO,LO,2.0,1.0,107500,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,16286,Selvstendig reproduserende,E,SE,SE,4.0,3.0,16286,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,216223,Dørstokkart,A,,PH,4.0,1.0,216223,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,19736,Dørstokkart,C0,LO,LO,3.0,1.0,19736,Ja,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,129449,Dørstokkart,A,,SE,4.0,3.0,129449,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,6531,Dørstokkart,A,PH,PH,1.0,4.0,6531,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,162746,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,162746,Ja,Nei
Fisker,Fastlands-Norge med havområder,216541,Dørstokkart,A,,LO,2.0,1.0,216541,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,219146,Dørstokkart,A,,LO,3.0,2.0,219146,Ja,Ja
Pattedyr,Fastlands-Norge med havområder,216767,Dørstokkart,A,,NK,1.0,1.0,216767,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,170141,Dørstokkart,A,,LO,3.0,1.0,170141,Ja,Nei
Pattedyr,Svalbard med kystsone,47949,Dørstokkart,B1,NK,NK,1.0,1.0,47949,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99446,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,99446,Nei,Nei
Karplanter,Fastlands-Norge med havområder,99447,Selvstendig reproduserende,E,PH,HI,4.0,2.0,99447,Nei,Nei
Karplanter,Fastlands-Norge med havområder,152311,Dørstokkart,C1,NK,LO,3.0,1.0,152311,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,216768,Dørstokkart,C0,,LO,1.0,3.0,216768,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,56782,Selvstendig reproduserende,C2,HI,HI,3.0,3.0,56782,Nei,Ja
Marine invertebrater,Fastlands-Norge med havområder,170070,Dørstokkart,A,LO,LO,3.0,1.0,170070,Ja,Nei
Fugler,Fastlands-Norge med havområder,128046,Dørstokkart,A,NK,NK,1.0,1.0,128046,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,47958,Dørstokkart,A,NK,LO,2.0,1.0,47958,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101020,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,101020,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101031,Selvstendig reproduserende,D2,NK,LO,2.0,1.0,101031,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101033,Selvstendig reproduserende,E,PH,PH,4.0,1.0,101033,Nei,Nei
Karplanter,Fastlands-Norge med havområder,169123,Dørstokkart,B1,,SE,4.0,3.0,169123,Ja,Ja
Karplanter,Fastlands-Norge med havområder,169247,Dørstokkart,B1,,SE,4.0,3.0,169247,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,11872,Selvstendig reproduserende,,LO,LO,3.0,1.0,11872,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100343,Selvstendig reproduserende,E,SE,SE,4.0,3.0,100343,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,170067,Dørstokkart,A,HI,LO,3.0,2.0,170067,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,170066,Dørstokkart,A,LO,LO,2.0,2.0,170066,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,170082,Dørstokkart,A,HI,HI,3.0,3.0,170082,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,220111,Dørstokkart,A,,LO,2.0,1.0,220111,Ja,Nei
Marine invertebrater,Svalbard med kystsone,220112,Dørstokkart,A,,LO,3.0,1.0,220112,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,220112,Dørstokkart,A,,PH,4.0,1.0,220112,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128615,Selvstendig reproduserende,,LO,LO,2.0,1.0,128615,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,220113,Dørstokkart,A,,LO,3.0,1.0,220113,Ja,Nei
Karplanter,Fastlands-Norge med havområder,173562,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,173562,Nei,Nei
Karplanter,Fastlands-Norge med havområder,172454,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,172454,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101274,Selvstendig reproduserende,D1,NK,LO,2.0,1.0,101274,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,170097,Dørstokkart,A,NK,NK,1.0,1.0,170097,Nei,Nei
Karplanter,Fastlands-Norge med havområder,204862,Selvstendig reproduserende,C2,LO,PH,4.0,1.0,204862,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128885,Selvstendig reproduserende,E,PH,HI,4.0,2.0,128885,Ja,Ja
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,128921,Dørstokkart,C0,LO,LO,2.0,1.0,128921,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,112168,Selvstendig reproduserende,C3,,LO,2.0,1.0,112168,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,223451,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,SE,3.0,4.0,223451,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,217023,Økologisk effekt uten selvstendig reproduksjon innen 50 år,B1,,PH,1.0,4.0,217023,Nei,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,216235,Dørstokkart,A,,LO,1.0,2.0,216235,Nei,Ja
Fisker,Fastlands-Norge med havområder,216542,Dørstokkart,A,,SE,4.0,4.0,216542,Ja,Ja
Fisker,Fastlands-Norge med havområder,128093,Dørstokkart,A,SE,SE,4.0,4.0,128093,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216238,Dørstokkart,A,,LO,3.0,1.0,216238,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,48088,Selvstendig reproduserende,E,SE,SE,4.0,4.0,48088,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102342,Selvstendig reproduserende,D2,NK,LO,3.0,1.0,102342,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102346,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,102346,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170595,Selvstendig reproduserende,D2,LO,PH,4.0,1.0,170595,Nei,Nei
Fugler,Fastlands-Norge med havområder,174300,Dørstokkart,A,,LO,1.0,2.0,174300,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,110653,Dørstokkart,B1,LO,LO,2.0,1.0,110653,Ja,Nei
Karplanter,Fastlands-Norge med havområder,103729,Dørstokkart,C1,NK,NK,1.0,1.0,103729,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,220116,Dørstokkart,A,,LO,3.0,1.0,220116,Ja,Nei
Karplanter,Fastlands-Norge med havområder,101278,Selvstendig reproduserende,E,PH,PH,4.0,1.0,101278,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101037,Selvstendig reproduserende,E,LO,LO,3.0,1.0,101037,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170397,Dørstokkart,C1,NK,LO,2.0,1.0,170397,Nei,Nei
Pattedyr,Fastlands-Norge med havområder,48029,Dørstokkart,C1,SE,SE,4.0,3.0,48029,Ja,Ja
Karplanter,Fastlands-Norge med havområder,100971,Selvstendig reproduserende,D2,HI,HI,3.0,3.0,100971,Nei,Nei
Limniske invertebrater,Fastlands-Norge med havområder,210727,Dørstokkart,A,,SE,4.0,3.0,210727,Ja,Ja
Limniske invertebrater,Fastlands-Norge med havområder,210742,Dørstokkart,A,,SE,4.0,3.0,210742,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,127760,Dørstokkart,A,,LO,3.0,1.0,127760,Ja,Nei
Marine invertebrater,Fastlands-Norge med havområder,170558,Dørstokkart,A,HI,HI,4.0,2.0,170558,Ja,Ja
Marine invertebrater,Fastlands-Norge med havområder,220119,Dørstokkart,A,,LO,3.0,1.0,220119,Ja,Nei
Karplanter,Fastlands-Norge med havområder,143513,Selvstendig reproduserende,E,SE,SE,4.0,4.0,143513,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102853,Selvstendig reproduserende,D2,LO,LO,2.0,1.0,102853,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102854,Selvstendig reproduserende,E,LO,PH,4.0,1.0,102854,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102856,Dørstokkart,C0,NK,NK,1.0,1.0,102856,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102858,Dørstokkart,C1,NK,LO,2.0,1.0,102858,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102860,Selvstendig reproduserende,C2,LO,PH,4.0,1.0,102860,Nei,Nei
Karplanter,Fastlands-Norge med havområder,217827,Dørstokkart,B2,,NK,1.0,1.0,217827,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128907,Selvstendig reproduserende,E,LO,PH,4.0,1.0,128907,Nei,Nei
Karplanter,Fastlands-Norge med havområder,102865,Selvstendig reproduserende,D1,NK,LO,2.0,1.0,102865,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,220120,Dørstokkart,A,,LO,3.0,1.0,220120,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,11980,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,11980,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,12333,Selvstendig reproduserende,D2,LO,LO,3.0,1.0,12333,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,9389,Selvstendig reproduserende,E,LO,LO,3.0,1.0,9389,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101040,Selvstendig reproduserende,E,LO,PH,4.0,1.0,101040,Nei,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,170477,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,170477,Ja,Nei
Rundormer og flatormer,Fastlands-Norge med havområder,128925,Selvstendig reproduserende,C2,LO,LO,2.0,1.0,128925,Ja,Nei
